timestamp,venue,instant_dBA,LAeq_10s,LAeq_6min,light,projected_6min,timeToLimit_s,peakC_dB,violation,overload,yellow_limit,red_limit
2026-06-05T21:52:38.647-04:00,Fountain Square,71.2,71.2,77.3,green,76.7,,86.61,0,0,88,90
2026-06-05T21:52:41.631-04:00,Fountain Square,72.4,71.9,77.2,green,76.7,,83.98,0,0,88,90
2026-06-05T21:52:44.645-04:00,Fountain Square,72.9,72.2,77.2,green,76.7,,89.18,0,0,88,90
2026-06-05T21:52:50.641-04:00,Fountain Square,72.1,72.3,77.1,green,76.6,,85.61,0,0,88,90
2026-06-05T21:52:53.646-04:00,Fountain Square,71.5,72.0,77.0,green,76.5,,86.76,0,0,88,90
2026-06-05T21:52:56.639-04:00,Fountain Square,71.4,71.7,76.9,green,76.4,,87.02,0,0,88,90
2026-06-05T21:52:59.631-04:00,Fountain Square,72.0,71.7,76.8,green,76.3,,88.37,0,0,88,90
2026-06-05T21:53:02.636-04:00,Fountain Square,73.0,72.0,76.8,green,76.3,,89.96,0,0,88,90
2026-06-05T21:53:05.630-04:00,Fountain Square,73.3,72.5,76.7,green,76.2,,88.88,0,0,88,90
2026-06-05T21:53:08.632-04:00,Fountain Square,71.0,72.4,76.6,green,76.2,,83.03,0,0,88,90
2026-06-05T21:53:11.646-04:00,Fountain Square,71.1,72.2,76.5,green,76.1,,88.04,0,0,88,90
2026-06-05T21:53:14.640-04:00,Fountain Square,72.1,72.0,76.5,green,76.0,,89.22,0,0,88,90
2026-06-05T21:53:17.643-04:00,Fountain Square,70.4,71.2,76.4,green,75.8,,85.91,0,0,88,90
2026-06-05T21:53:20.648-04:00,Fountain Square,73.0,71.7,76.3,green,75.8,,88.54,0,0,88,90
2026-06-05T21:53:23.619-04:00,Fountain Square,69.4,71.4,76.2,green,75.7,,94.22,0,0,88,90
2026-06-05T21:53:26.633-04:00,Fountain Square,70.2,71.0,76.1,green,75.6,,89.9,0,0,88,90
2026-06-05T21:53:29.637-04:00,Fountain Square,70.0,70.9,76.1,green,75.5,,85.92,0,0,88,90
2026-06-05T21:53:32.641-04:00,Fountain Square,72.6,70.8,76.0,green,75.4,,89.14,0,0,88,90
2026-06-05T21:53:35.644-04:00,Fountain Square,69.1,70.7,75.9,green,75.3,,83.18,0,0,88,90
2026-06-05T21:53:38.648-04:00,Fountain Square,70.0,70.7,75.8,green,75.2,,85.77,0,0,88,90
2026-06-05T21:53:41.641-04:00,Fountain Square,67.5,70.2,75.7,green,75.1,,83.04,0,0,88,90
2026-06-05T21:53:44.645-04:00,Fountain Square,69.4,69.1,75.6,green,75.0,,81.89,0,0,88,90
2026-06-05T21:53:47.637-04:00,Fountain Square,73.0,70.5,75.5,green,74.9,,84.45,0,0,88,90
2026-06-05T21:53:50.641-04:00,Fountain Square,69.2,70.3,75.3,green,74.8,,82.79,0,0,88,90
2026-06-05T21:53:53.629-04:00,Fountain Square,74.2,72.0,75.3,green,74.9,,88.32,0,0,88,90
2026-06-05T21:53:56.642-04:00,Fountain Square,72.7,72.6,75.2,green,74.9,,86.82,0,0,88,90
2026-06-05T21:53:59.636-04:00,Fountain Square,69.8,71.9,75.2,green,74.8,,82.98,0,0,88,90
2026-06-05T21:54:02.639-04:00,Fountain Square,70.8,72.2,75.2,green,74.8,,82.6,0,0,88,90
2026-06-05T21:54:05.633-04:00,Fountain Square,70.3,71.0,75.1,green,74.7,,83.38,0,0,88,90
2026-06-05T21:54:08.636-04:00,Fountain Square,69.4,70.1,74.2,green,73.7,,83.9,0,0,88,90
2026-06-05T21:54:11.620-04:00,Fountain Square,68.7,69.9,73.2,green,72.8,,90.08,0,0,88,90
2026-06-05T21:54:14.644-04:00,Fountain Square,68.8,69.4,73.2,green,72.8,,85.68,0,0,88,90
2026-06-05T21:54:17.648-04:00,Fountain Square,69.7,69.2,73.2,green,72.7,,82.05,0,0,88,90
