timestamp,venue,FS Peak,Peak C,SPL Fast,SPL A Fast,SPL C Fast,SPL Slow,SPL A Slow,SPL C Slow,Leq 1,LAeq 1,LCeq 1,LAeq 1s,LAeq 3,LAeq 6,LAeq 10s,LCeq 3,LCeq 10s,Leq 10s C-A,Exposure O,Exposure N,LAeq_10s_computed,light,violation,overload,yellow_limit,red_limit
2026-06-15T13:12:57.717-04:00,Fountain Square,-49.99,98.68,87.53,86.13,90.29,85.78,84.38,87.88,,,,,,,,,,,,,84.4,yellow,0,0,80,90
2026-06-15T13:12:58.729-04:00,Fountain Square,-49.57,98.63,88.47,87.07,90.16,87.76,86.36,89.86,,,,,,,,,,,,,85.6,yellow,0,0,80,90
2026-06-15T13:12:59.741-04:00,Fountain Square,-49.56,98.74,88.5,87.1,90.26,89.6,88.2,91.7,,,,,,,,,,,,,86.7,yellow,0,0,80,90
2026-06-15T13:13:00.751-04:00,Fountain Square,-49.19,99.65,89.31,87.91,91.39,88.46,87.06,90.56,,,,,,,,,,,,,86.8,yellow,0,0,80,90
2026-06-15T13:13:01.764-04:00,Fountain Square,-50.45,100.68,86.5,85.1,88.71,87.65,86.25,89.75,,,,,,,,,,,,,86.8,yellow,0,0,80,90
2026-06-15T13:13:02.776-04:00,Fountain Square,-50.6,99.49,86.18,84.78,88.39,87.18,85.78,89.28,,,,,,,,,,,,,86.7,yellow,0,0,80,90
2026-06-15T13:13:03.788-04:00,Fountain Square,-50.17,96.26,87.14,85.74,89.66,86.94,85.54,89.04,,,,,,,,,,,,,86.6,yellow,0,0,80,90
2026-06-15T13:13:04.801-04:00,Fountain Square,-50.73,96.38,85.9,84.5,88.12,87.27,85.87,89.37,,,,,,,,,,,,,86.6,yellow,0,0,80,90
2026-06-15T13:13:05.814-04:00,Fountain Square,-48.84,99.94,90.1,88.7,92.6,87.23,85.83,89.33,,,,,,,,,,,,,86.5,yellow,0,0,80,90
2026-06-15T13:13:06.826-04:00,Fountain Square,-49.35,99.2,88.95,87.55,91.06,87.94,86.54,90.04,,,,,,,,,,,,,86.5,yellow,0,0,80,90
2026-06-15T13:13:07.839-04:00,Fountain Square,-49.45,99.28,88.73,87.33,90.95,87.1,85.7,89.2,,,,,,,,,,,,,86.4,yellow,0,0,80,90
2026-06-15T13:13:08.852-04:00,Fountain Square,-50.02,99.53,87.47,86.07,89.87,87.04,85.64,89.14,,,,,,,,,,,,,86.4,yellow,0,0,80,90
2026-06-15T13:13:09.865-04:00,Fountain Square,-49.67,101.36,88.23,86.83,90.2,86.8,85.4,88.9,,,,,,,,,,,,,86.1,yellow,0,0,80,90
2026-06-15T13:13:10.877-04:00,Fountain Square,-52.05,91.49,82.96,81.56,84.85,86.05,84.65,88.15,,,,,,,,,,,,,85.9,yellow,0,0,80,90
2026-06-15T13:13:11.889-04:00,Fountain Square,-49.99,96.7,87.52,86.12,90.05,86.64,85.24,88.74,,,,,,,,,,,,,85.8,yellow,0,0,80,90
2026-06-15T13:13:12.903-04:00,Fountain Square,-51.18,97.2,84.89,83.49,86.53,85.5,84.1,87.6,,,,,,,,,,,,,85.6,yellow,0,0,80,90
2026-06-15T13:13:13.915-04:00,Fountain Square,-51.65,94.94,83.85,82.45,86.23,85.09,83.69,87.19,,,,,,,,,,,,,85.4,yellow,0,0,80,90
2026-06-15T13:13:14.926-04:00,Fountain Square,-51.06,93.99,85.15,83.75,86.58,86.5,85.1,88.6,,,,,,,,,,,,,85.2,yellow,0,0,80,90
2026-06-15T13:13:15.939-04:00,Fountain Square,-52.42,95.24,82.13,80.73,84.69,84.44,83.04,86.54,,,,,,,,,,,,,85.0,yellow,0,0,80,90
2026-06-15T13:13:16.952-04:00,Fountain Square,-53.02,91.04,80.81,79.41,83.31,83.41,82.01,85.51,,,,,,,,,,,,,84.7,yellow,0,0,80,90
2026-06-15T13:13:17.962-04:00,Fountain Square,-51.1,98.38,85.07,83.67,86.8,85.07,83.67,87.17,,,,,,,,,,,,,84.5,yellow,0,0,80,90
2026-06-15T13:13:18.974-04:00,Fountain Square,-51.39,96.31,84.43,83.03,86.89,83.9,82.5,86.0,,,,,,,,,,,,,84.3,yellow,0,0,80,90
2026-06-15T13:13:19.983-04:00,Fountain Square,-49.46,98.57,88.71,87.31,90.52,85.02,83.62,87.12,,,,,,,,,,,,,84.1,yellow,0,0,80,90
2026-06-15T13:13:20.996-04:00,Fountain Square,-51.96,91.45,83.15,81.75,84.56,83.55,82.15,85.65,,,,,,,,,,,,,83.8,yellow,0,0,80,90
2026-06-15T13:13:22.008-04:00,Fountain Square,-51.89,93.35,83.31,81.91,84.9,83.86,82.46,85.96,,,,,,,,,,,,,83.5,yellow,0,0,80,90
2026-06-15T13:13:23.019-04:00,Fountain Square,-51.08,96.63,85.12,83.72,87.34,83.85,82.45,85.95,,,,,,,,,,,,,83.3,yellow,0,0,80,90
2026-06-15T13:13:24.030-04:00,Fountain Square,-52.56,95.96,81.82,80.42,84.67,83.34,81.94,85.44,,,,,,,,,,,,,83.1,yellow,0,0,80,90
2026-06-15T13:13:25.043-04:00,Fountain Square,-52.09,94.52,82.88,81.48,84.14,83.94,82.54,86.04,,,,,,,,,,,,,82.9,yellow,0,0,80,90
