timestamp,venue,FS Peak,Peak C,SPL Fast,SPL A Fast,SPL C Fast,SPL Slow,SPL A Slow,SPL C Slow,Leq 1,LAeq 1,LCeq 1,LAeq 1s,LAeq 3,LAeq 6,LAeq 10s,LCeq 3,LCeq 10s,Leq 10s C-A,Exposure O,Exposure N,LAeq_10s_computed,sub63_10s,sub63_1min,light,violation,overload,yellow_limit,red_limit
2026-07-01T16:51:41.864-04:00,Fountain Square,-56.24,82.29,73.64,72.24,76.06,75.08,73.68,77.18,,,,,,,,,,,,,73.7,71.3,69.7,green,0,0,80,90
2026-07-01T16:51:42.876-04:00,Fountain Square,-55.03,86.06,76.34,74.94,77.89,74.75,73.35,76.85,,,,,,,,,,,,,73.1,72.9,69.3,green,0,0,80,90
2026-07-01T16:51:43.889-04:00,Fountain Square,-55.98,82.22,74.22,72.82,76.07,74.45,73.05,76.55,,,,,,,,,,,,,73.1,73.4,69.0,green,0,0,80,90
2026-07-01T16:51:44.903-04:00,Fountain Square,-56.02,86.27,74.14,72.74,75.34,74.88,73.48,76.98,,,,,,,,,,,,,73.2,71.5,69.5,green,0,0,80,90
2026-07-01T16:51:45.921-04:00,Fountain Square,-56.49,83.69,73.08,71.68,75.07,74.24,72.84,76.34,,,,,,,,,,,,,73.2,71.4,68.8,green,0,0,80,90
2026-07-01T16:51:46.936-04:00,Fountain Square,-56.55,84.67,72.94,71.54,74.79,74.64,73.24,76.74,,,,,,,,,,,,,73.2,72.5,69.2,green,0,0,80,90
2026-07-01T16:51:47.952-04:00,Fountain Square,-56.44,85.2,73.2,71.8,75.28,74.54,73.14,76.64,,,,,,,,,,,,,73.3,73.4,69.1,green,0,0,80,90
2026-07-01T16:51:48.965-04:00,Fountain Square,-56.22,82.46,73.69,72.29,76.36,75.01,73.61,77.11,,,,,,,,,,,,,73.3,73.5,69.6,green,0,0,80,90
2026-07-01T16:51:49.980-04:00,Fountain Square,-55.23,84.86,75.89,74.49,78.58,75.51,74.11,77.61,,,,,,,,,,,,,73.4,75.8,70.1,green,0,0,80,90
2026-07-01T16:51:50.995-04:00,Fountain Square,-55.1,86.17,76.17,74.77,79.11,75.88,74.48,77.98,,,,,,,,,,,,,73.5,76.0,70.5,green,0,0,80,90
2026-07-01T16:51:52.009-04:00,Fountain Square,-54.4,89.24,77.73,76.33,79.55,76.89,75.49,78.99,,,,,,,,,,,,,73.7,76.6,71.5,green,0,0,80,90
2026-07-01T16:51:53.023-04:00,Fountain Square,-54.67,89.46,77.13,75.73,78.32,76.72,75.32,78.82,,,,,,,,,,,,,73.9,76.4,71.3,green,0,0,80,90
2026-07-01T16:51:54.037-04:00,Fountain Square,-54.91,89.71,76.6,75.2,77.99,76.82,75.42,78.92,,,,,,,,,,,,,74.2,77.1,71.4,green,0,0,80,90
2026-07-01T16:51:55.050-04:00,Fountain Square,-55.2,88.64,75.95,74.55,77.53,76.3,74.9,78.4,,,,,,,,,,,,,74.3,75.3,70.9,green,0,0,80,90
2026-07-01T16:51:56.063-04:00,Fountain Square,-54.81,90.53,76.83,75.43,79.22,76.77,75.37,78.87,,,,,,,,,,,,,74.5,76.0,71.4,green,0,0,80,90
2026-07-01T16:51:57.079-04:00,Fountain Square,-53.93,87.56,78.78,77.38,80.41,77.37,75.97,79.47,,,,,,,,,,,,,74.7,78.0,72.0,green,0,0,80,90
2026-07-01T16:51:58.094-04:00,Fountain Square,-55.01,87.72,76.38,74.98,78.06,77.11,75.71,79.21,,,,,,,,,,,,,75.0,77.5,71.7,green,0,0,80,90
2026-07-01T16:51:59.109-04:00,Fountain Square,-53.88,87.88,78.88,77.48,80.46,77.27,75.87,79.37,,,,,,,,,,,,,75.1,79.3,71.9,green,0,0,80,90
2026-07-01T16:52:00.125-04:00,Fountain Square,-54.89,84.92,76.65,75.25,77.87,77.03,75.63,79.13,,,,,,,,,,,,,75.3,78.9,71.6,green,0,0,80,90
2026-07-01T16:52:01.139-04:00,Fountain Square,-54.35,85.92,77.84,76.44,79.49,77.7,76.3,79.8,,,,,,,,,,,,,75.5,78.4,72.3,green,0,0,80,90
2026-07-01T16:52:02.154-04:00,Fountain Square,-54.97,89.43,76.48,75.08,78.08,77.61,76.21,79.71,,,,,,,,,,,,,75.6,78.7,72.2,green,0,0,80,90
2026-07-01T16:52:03.167-04:00,Fountain Square,-54.68,86.78,77.12,75.72,78.58,77.7,76.3,79.8,,,,,,,,,,,,,75.8,78.1,72.3,green,0,0,80,90
2026-07-01T16:52:04.182-04:00,Fountain Square,-53.07,94.16,80.7,79.3,83.75,78.63,77.23,80.73,,,,,,,,,,,,,75.9,78.9,73.2,green,0,0,80,90
2026-07-01T16:52:05.196-04:00,Fountain Square,-54.73,90.02,77.0,75.6,78.94,78.41,77.01,80.51,,,,,,,,,,,,,76.1,77.8,73.0,green,0,0,80,90
2026-07-01T16:52:06.210-04:00,Fountain Square,-53.88,87.86,78.88,77.48,81.78,78.47,77.07,80.57,,,,,,,,,,,,,76.3,79.7,73.1,green,0,0,80,90
2026-07-01T16:52:07.223-04:00,Fountain Square,-53.66,87.01,79.39,77.99,80.91,77.62,76.22,79.72,,,,,,,,,,,,,76.3,77.6,72.2,green,0,0,80,90
2026-07-01T16:52:08.237-04:00,Fountain Square,-54.62,86.71,77.25,75.85,79.02,77.21,75.81,79.31,,,,,,,,,,,,,76.4,77.1,71.8,green,0,0,80,90
